timestamp,bin_id,latitude,longitude,fill_level_percent,capacity_liters,persona
2024-10-01 00:00:00,LPU_B_001,31.2552,75.703,0.0,1000,academic
2024-10-01 00:00:00,LPU_B_002,31.256,75.7042,0.0,1000,academic
2024-10-01 00:00:00,LPU_B_003,31.2571,75.7025,0.0,1000,academic
2024-10-01 00:00:00,LPU_B_004,31.251,75.706,6.51,1500,hostel
2024-10-01 00:00:00,LPU_B_005,31.2505,75.7065,4.52,1500,hostel
2024-10-01 00:00:00,LPU_B_006,31.2498,75.707,0.99,1500,hostel
2024-10-01 00:00:00,LPU_B_007,31.2535,75.705,0.65,2000,food_court
2024-10-01 00:00:00,LPU_B_008,31.2538,75.7053,4.04,2000,food_court
2024-10-01 00:00:00,LPU_B_009,31.2545,75.704,0.39,500,academic
2024-10-01 00:00:00,LPU_B_010,31.258,75.701,0.0,500,academic
2024-10-01 06:00:00,LPU_B_001,31.2552,75.703,0.0,1000,academic
2024-10-01 06:00:00,LPU_B_002,31.256,75.7042,6.65,1000,academic
2024-10-01 06:00:00,LPU_B_003,31.2571,75.7025,2.49,1000,academic
2024-10-01 06:00:00,LPU_B_004,31.251,75.706,15.44,1500,hostel
2024-10-01 06:00:00,LPU_B_005,31.2505,75.7065,8.6,1500,hostel
2024-10-01 06:00:00,LPU_B_006,31.2498,75.707,10.09,1500,hostel
2024-10-01 06:00:00,LPU_B_007,31.2535,75.705,0.65,2000,food_court
2024-10-01 06:00:00,LPU_B_008,31.2538,75.7053,7.74,2000,food_court
2024-10-01 06:00:00,LPU_B_009,31.2545,75.704,3.66,500,academic
2024-10-01 06:00:00,LPU_B_010,31.258,75.701,0.19,500,academic
2024-10-01 12:00:00,LPU_B_001,31.2552,75.703,31.79,1000,academic
2024-10-01 12:00:00,LPU_B_002,31.256,75.7042,36.18,1000,academic
2024-10-01 12:00:00,LPU_B_003,31.2571,75.7025,33.47,1000,academic
2024-10-01 12:00:00,LPU_B_004,31.251,75.706,22.67,1500,hostel
2024-10-01 12:00:00,LPU_B_005,31.2505,75.7065,15.11,1500,hostel
2024-10-01 12:00:00,LPU_B_006,31.2498,75.707,12.02,1500,hostel
2024-10-01 12:00:00,LPU_B_007,31.2535,75.705,41.5,2000,food_court
2024-10-01 12:00:00,LPU_B_008,31.2538,75.7053,47.85,2000,food_court
2024-10-01 12:00:00,LPU_B_009,31.2545,75.704,27.33,500,academic
2024-10-01 12:00:00,LPU_B_010,31.258,75.701,31.12,500,academic
2024-10-01 18:00:00,LPU_B_001,31.2552,75.703,33.54,1000,academic
2024-10-01 18:00:00,LPU_B_002,31.256,75.7042,43.28,1000,academic
2024-10-01 18:00:00,LPU_B_003,31.2571,75.7025,36.74,1000,academic
2024-10-01 18:00:00,LPU_B_004,31.251,75.706,25.41,1500,hostel
2024-10-01 18:00:00,LPU_B_005,31.2505,75.7065,25.55,1500,hostel
2024-10-01 18:00:00,LPU_B_006,31.2498,75.707,18.15,1500,hostel
2024-10-01 18:00:00,LPU_B_007,31.2535,75.705,45.05,2000,food_court
2024-10-01 18:00:00,LPU_B_008,31.2538,75.7053,47.85,2000,food_court
2024-10-01 18:00:00,LPU_B_009,31.2545,75.704,30.27,500,academic
2024-10-01 18:00:00,LPU_B_010,31.258,75.701,37.43,500,academic
2024-10-02 00:00:00,LPU_B_001,31.2552,75.703,33.54,1000,academic
2024-10-02 00:00:00,LPU_B_002,31.256,75.7042,43.28,1000,academic
